Name,RAM,ROM,Sold Quantity,Rating
POCO M4 5G,4,64,83612,4.2
vivo T2 5G,8,128,6152,4.4
POCO M4 5G,4,64,83612,4.2
APPLE iPhone 13,0,128,232295,4.7
POCO M4 5G,4,64,83612,4.2
APPLE iPhone 13,0,128,232295,4.7
SAMSUNG Galaxy F14 5G,6,128,20833,4.2
APPLE iPhone 13,0,128,232295,4.7
SAMSUNG Galaxy F14 5G,6,128,20833,4.2
Infinix Note 12 Pro 5G,8,128,29548,4.1
POCO X5 Pro 5G,8,256,9639,4.3
Google Pixel 6a,6,128,50708,4.3
Google Pixel 6a,6,128,50708,4.3
APPLE iPhone 13,0,128,232295,4.7
POCO X5 5G,6,128,10818,4.1
Infinix Note 12 Pro 5G,8,128,29548,4.1
POCO F4 5G,8,128,GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display64MP + 8MP + 2MP | 20MP Front Camera4500 mAh Lithium-ion Polymer BatteryQualcomm Snapdragon 870 Processor2 Years Brand Warranty₹21999₹3999945% offFree delivery by TodayTop Discount on SaleUpto ₹21100 Off on ExchangeAdd to Comparerealme 10 Pro 5G (Dark Matter 128 GB)4.322542,12 
realme 10 Pro 5G,8,128,22542,4.3
realme 10 Pro 5G,6,128,29945,4.3
realme 10 Pro 5G,6,128,29945,4.3
realme 10 Pro 5G,8,128,22542,4.3
realme 10 Pro 5G,8,256,9639,4.3
POCO X5 Pro 5G,4,64,13220,4.2
